Sr#,Project,Completed On,Client,Value
1,Effluent Treatment Plant Civil Works Duqm,,Oman Water Treatment Co SAOC,0.28 Million OMR
2,PAW Admin Building,Jul-21,,1.2 Million OMR
3,Construction Of 200 Mld Independent Water Plant,Jan-16,Hyflux,
4,"Construction Of Box Culverts, Arch Bridges, Wadi Bridges, Retaining Walls & Mobilization Works At Sur - Bidbid Section-1 Package 1-A-Oman",Jan-16,,
5,Construction Of Gantry & Cantilever Foundation,Oct-15,,
6,Model Houses & Wara Houses,Oct-15,,
7,Construction Of Concrete Approns,Oct-15,,
8,Housing Development In Port Elizabeth-South Africa 50 Nos.Of Housing Unit,Oct-15,,
9,"Construction Of Arch Bridges, Box Culverts & Mobilization Works At Sur - Bidbid Section-1 Package 1-B-Oman",Oct-15,,
10,Construction Of Super Structure For Box Girder Airport Interchange Bridges In Salalah-Oman,Jul-15,,
11,Turkish Embassy-Pakistan,May-15,,
12,700 Housing Units At Juffra Libya With Stfa-Libtalt Includes The Finishes Works For The 700 Housing Units,May-15,,
13,Construction Of Box Girder Bridge Superstructure Works At Al-Murtafa Street Muscat Oman,Feb-15,,
14,"Construction Of Box Culverts, And Vehicular Underpass-Oman In Ibri",Oct-14,,
15,Construction Of Voided Slab Bridges At A Naaman At Batinah Highway Junctions Up Gradation Project-Oman,Jan-13,,
16,40 Cells(4Mx4M)Box Culvert At Thumrait Al-Maziona Road-Oman,Sep-11,,
17,Construction Of Water Supply Line With Chambers At Sur Lng Oman,Jun-11,,
18,"Drain Culvert 3Km ,Manholes & Retaining Walls At Salalah-Oman",Jun-11,,
19,Sur Lng Round About Monument-Oman Construction Of Monument Round-About,May-11,,
20,Multicell Box Culvert At Qurum Beach Plaza,Mar-11,,
21,Rigid Pavement At Wadi Tiwi-Oman (3-Km),Apr-10,,
22,Sur City 2 Nos Bridges-Oman,Nov-09,STFA-POLAT JV,
23,Culverts Works At Sohar Buraimi Road Project-Oman,Dec-18,CCC OMAN,
24,Construction of Flyover At Salalah,Mar-17,,
